hidden_dim,num_layers,dropout,learning_rate,weight_decay,scheduler_type,scheduler_param,best_val_loss,epochs_trained,final_val_mae,final_val_mse
128,2,0.0,0.01,1e-05,step,20,0.17439478659071028,75,1.38688800111413,8.678132146596909
128,2,0.0,0.01,1e-05,none,20,0.18256741715595126,41,1.5778398253023624,9.347879201173782
128,2,0.0,0.001,0.0001,step,20,0.1717353775165975,56,1.3446451034396887,8.408287972211838
128,2,0.0,0.001,0.0001,none,20,0.18497858755290508,49,1.4862005338072777,9.221777729690075
128,2,0.0,0.001,1e-05,step,20,0.16595797333866358,62,1.3119532465934753,8.108828008174896
128,2,0.0,0.001,1e-05,none,20,0.17718730866909027,52,1.4669067151844501,9.162911735475063
128,2,0.2,0.01,0.0001,step,20,0.19301895517855883,34,1.5670900531113148,9.621882513165474
128,2,0.2,0.01,0.0001,none,20,0.19471809430979192,55,1.6264725364744663,9.758257120847702
128,2,0.2,0.01,1e-05,step,20,0.2263882567640394,20,1.8619320876896381,11.542650401592255
128,2,0.2,0.01,1e-05,none,20,0.2068779927212745,27,4.524447284638882,56.24400216341019
128,2,0.2,0.001,0.0001,step,20,0.18016921170055866,52,1.380011336877942,8.813295044004917
128,2,0.2,0.001,0.0001,none,20,0.20471000811085105,34,1.6701902337372303,10.585600912570953
128,2,0.2,0.001,1e-05,step,20,0.17341504152864218,72,1.3550476990640163,8.55998319387436
128,2,0.2,0.001,1e-05,none,20,0.1901963611599058,46,1.5674456469714642,9.97074942290783
256,1,0.0,0.01,0.0001,step,20,0.17201320291496813,61,1.3631081990897655,8.56719420850277
256,1,0.0,0.01,0.0001,none,20,0.19564964878372848,40,1.8346640691161156,10.91448649764061
256,1,0.0,0.01,1e-05,step,20,0.17810371052473783,41,1.3689066357910633,8.719250440597534
256,1,0.0,0.01,1e-05,none,20,0.18331228871829808,36,1.5559026189148426,9.639253586530685
256,1,0.0,0.001,0.0001,step,20,0.18369910586625338,52,1.4111861996352673,9.024027347564697
256,1,0.0,0.001,0.0001,none,20,0.18315230566076934,63,1.4341300074011087,9.078748501837254
256,1,0.0,0.001,1e-05,step,20,0.18401547684334219,32,1.4500920847058296,9.140050157904625
256,1,0.0,0.001,1e-05,none,20,0.17849014757666737,52,1.4394754711538553,8.847764827311039
256,1,0.2,0.01,0.0001,step,20,0.18236665707081556,34,1.4271414503455162,8.991013340651989
256,1,0.2,0.01,0.0001,none,20,0.1939302620012313,43,2.2525375336408615,17.007010087370872
256,1,0.2,0.01,1e-05,step,20,0.22532947454601526,18,2.642163433134556,16.909206718206406
256,1,0.2,0.01,1e-05,none,20,0.181827406398952,40,1.561732828617096,9.429536819458008
256,1,0.2,0.001,0.0001,step,20,0.18848731298930943,39,1.479780588299036,9.378987327218056
256,1,0.2,0.001,0.0001,none,20,0.19066094420850277,47,1.5230023860931396,9.754690065979958
256,1,0.2,0.001,1e-05,step,20,0.17715830961242318,59,1.3519065584987402,8.722047545015812
256,1,0.2,0.001,1e-05,none,20,0.17317924741655588,70,1.4466405138373375,8.962985873222351
256,2,0.0,0.01,0.0001,step,20,0.18016378907486796,52,1.421608630567789,8.872213423252106
256,2,0.0,0.01,0.0001,none,20,0.19453863590024412,48,2.7002004981040955,24.686522901058197
256,2,0.0,0.01,1e-05,step,20,0.1728984087239951,51,1.3934554904699326,8.560983404517174
256,2,0.0,0.01,1e-05,none,20,0.18588030547834933,54,2.407073300331831,21.32088953256607
256,2,0.0,0.001,0.0001,step,20,0.17097119940444827,58,1.364329094067216,8.419717974960804
256,2,0.0,0.001,0.0001,none,20,0.18122677342034876,62,1.58440413326025,9.457974582910538
256,2,0.0,0.001,1e-05,step,20,0.1719051452819258,40,1.387800795957446,8.538350000977516
256,2,0.0,0.001,1e-05,none,20,0.180033486103639,40,1.5630018524825573,9.67660328745842
256,2,0.2,0.01,0.0001,step,20,0.18739837827160954,60,1.502043679356575,9.192177891731262
256,2,0.2,0.01,0.0001,none,20,0.2308354265987873,42,2.0374117344617844,12.529711544513702
256,2,0.2,0.01,1e-05,step,20,0.182055534562096,37,1.5860748589038849,9.590171255171299
256,2,0.2,0.01,1e-05,none,20,0.47286856081336737,14,4.36219184845686,52.49482887983322
256,2,0.2,0.001,0.0001,step,20,0.168935832567513,80,1.3297526016831398,8.352530486881733
256,2,0.2,0.001,0.0001,none,20,0.18539507407695055,80,1.529760017991066,9.562489554286003
256,2,0.2,0.001,1e-05,step,20,0.16792985750362277,57,1.337674206122756,8.374420516192913
256,2,0.2,0.001,1e-05,none,20,0.17506085999775678,73,1.4818329028785229,8.966717153787613
